date,total_articles,bullish_index,dominant_sentiment
2020-07-08,38,0.631578947368421,positive
2020-07-09,36,0.5555555555555556,neutral
2020-07-10,59,0.635593220338983,positive
2020-07-13,40,0.675,positive
2020-07-14,33,0.5606060606060606,positive
2020-07-15,37,0.5540540540540541,positive
2020-07-16,35,0.6857142857142857,positive
2020-07-17,50,0.62,positive
2020-07-20,60,0.6333333333333333,positive
2020-07-21,36,0.5694444444444444,neutral
2020-07-22,32,0.546875,positive
2020-07-23,32,0.5,neutral
2020-07-24,57,0.5964912280701754,positive
2020-07-27,34,0.6323529411764706,neutral
2020-07-28,30,0.5333333333333333,neutral
2020-07-29,35,0.5285714285714286,neutral
2020-07-30,37,0.5,neutral
2020-07-31,63,0.6507936507936508,positive
2020-08-03,31,0.6774193548387096,positive
2020-08-04,33,0.5606060606060606,neutral
2020-08-05,33,0.6363636363636364,neutral
2020-08-06,35,0.5,positive
2020-08-07,45,0.5222222222222223,positive
2020-08-10,28,0.6964285714285714,positive
2020-08-11,27,0.6666666666666666,positive
2020-08-12,30,0.6833333333333333,positive
2020-08-13,28,0.6071428571428571,positive
2020-08-14,44,0.625,positive
2020-08-17,34,0.7058823529411765,positive
2020-08-18,28,0.6428571428571429,positive
2020-08-19,34,0.6911764705882353,positive
2020-08-20,30,0.65,positive
2020-08-21,56,0.6428571428571429,positive
2020-08-24,34,0.6764705882352942,positive
2020-08-25,35,0.7142857142857143,positive
2020-08-26,25,0.64,positive
2020-08-27,28,0.6964285714285714,positive
2020-08-28,44,0.6590909090909091,positive
2020-08-31,33,0.7121212121212122,positive
2020-09-01,30,0.6666666666666666,positive
2020-09-02,11,0.5454545454545454,neutral
2020-09-03,40,0.6875,positive
2020-09-04,53,0.6226415094339622,neutral
2020-09-07,26,0.6923076923076923,positive
2020-09-08,40,0.65,positive
2020-09-09,30,0.7,positive
2020-09-10,32,0.671875,positive
2020-09-11,53,0.7358490566037735,positive
2020-09-14,38,0.7236842105263158,positive
2020-09-15,34,0.5441176470588235,neutral
2020-09-16,34,0.6617647058823529,positive
2020-09-17,27,0.5740740740740741,positive
2020-09-18,51,0.6078431372549019,positive
2020-09-21,34,0.6323529411764706,positive
2020-09-22,31,0.6129032258064516,neutral
2020-09-23,32,0.578125,neutral
2020-09-24,31,0.5483870967741935,neutral
2020-09-25,53,0.6320754716981132,positive
2020-09-28,34,0.6617647058823529,positive
2020-09-29,35,0.5857142857142857,positive
2020-09-30,34,0.6911764705882353,positive
2020-10-01,33,0.6060606060606061,neutral
2020-10-02,53,0.5754716981132075,neutral
2020-10-05,38,0.6842105263157895,positive
2020-10-06,44,0.8181818181818182,positive
2020-10-07,39,0.6025641025641025,positive
2020-10-08,38,0.6447368421052632,positive
2020-10-09,56,0.6785714285714286,positive
2020-10-12,31,0.6290322580645161,neutral
2020-10-13,34,0.7352941176470589,positive
2020-10-14,37,0.6351351351351351,neutral
2020-10-15,38,0.7236842105263158,neutral
2020-10-16,60,0.575,positive
2020-10-19,36,0.6805555555555556,neutral
2020-10-20,43,0.4883720930232558,neutral
2020-10-21,39,0.6410256410256411,neutral
2020-10-22,50,0.56,neutral
2020-10-23,58,0.5862068965517241,positive
2020-10-26,38,0.618421052631579,positive
2020-10-27,41,0.573170731707317,neutral
2020-10-28,40,0.5625,positive
2020-10-29,45,0.5666666666666667,neutral
2020-10-30,79,0.5379746835443038,neutral
2020-11-02,44,0.7159090909090909,positive
2020-11-03,39,0.717948717948718,positive
2020-11-04,32,0.625,positive
2020-11-05,35,0.5428571428571428,neutral
2020-11-06,50,0.76,positive
2020-11-09,41,0.7195121951219512,positive
2020-11-10,40,0.75,positive
2020-11-11,33,0.7878787878787878,positive
2020-11-12,31,0.7258064516129032,positive
2020-11-13,53,0.6698113207547169,neutral
2020-11-16,35,0.7285714285714285,positive
2020-11-17,39,0.6282051282051282,positive
2020-11-18,30,0.7,neutral
2020-11-19,35,0.6428571428571429,positive
2020-11-20,44,0.7386363636363636,positive
2020-11-23,35,0.6714285714285714,neutral
2020-11-24,28,0.625,positive
2020-11-25,32,0.6875,positive
2020-11-26,41,0.7560975609756098,positive
2020-11-27,40,0.7375,positive
2020-11-30,34,0.7352941176470589,positive
2020-12-01,37,0.5945945945945946,neutral
2020-12-02,35,0.6285714285714286,positive
2020-12-03,48,0.6041666666666666,neutral
2020-12-04,54,0.6018518518518519,positive
2020-12-07,34,0.6911764705882353,positive
2020-12-08,42,0.6428571428571429,positive
2020-12-09,33,0.696969696969697,neutral
2020-12-10,38,0.6973684210526315,positive
2020-12-11,51,0.6666666666666666,neutral
2020-12-14,37,0.7432432432432432,positive
2020-12-15,42,0.7142857142857143,positive
2020-12-16,38,0.6578947368421053,positive
2020-12-17,38,0.75,positive
2020-12-18,56,0.7678571428571429,positive
2020-12-21,32,0.6875,positive
2020-12-22,38,0.6710526315789473,positive
2020-12-23,30,0.6666666666666666,neutral
2020-12-24,32,0.625,positive
2020-12-25,55,0.6,neutral
2020-12-28,38,0.7763157894736842,positive
2020-12-29,48,0.7083333333333334,positive
2020-12-30,37,0.6486486486486487,positive
2020-12-31,30,0.65,positive
2021-01-01,36,0.6805555555555556,neutral
2021-01-04,43,0.627906976744186,neutral
2021-01-05,42,0.5952380952380952,neutral
2021-01-06,34,0.6764705882352942,positive
2021-01-07,30,0.6333333333333333,neutral
2021-01-08,53,0.7169811320754716,positive
2021-01-11,41,0.5853658536585366,positive
2021-01-12,37,0.527027027027027,neutral
2021-01-13,35,0.6714285714285714,positive
2021-01-14,30,0.7,positive
2021-01-15,63,0.6428571428571429,neutral
2021-01-18,39,0.6666666666666666,positive
2021-01-19,49,0.5714285714285714,neutral
2021-01-20,46,0.6304347826086957,neutral
2021-01-21,47,0.5638297872340425,neutral
2021-01-22,69,0.5869565217391305,neutral
2021-01-25,54,0.5740740740740741,neutral
2021-01-26,38,0.5526315789473685,neutral
2021-01-27,29,0.5862068965517241,neutral
2021-01-28,38,0.5,neutral
2021-01-29,67,0.6417910447761194,neutral
2021-02-01,48,0.6354166666666666,positive
2021-02-02,50,0.58,neutral
2021-02-03,40,0.5375,neutral
2021-02-04,38,0.618421052631579,neutral
2021-02-05,67,0.5597014925373134,neutral
2021-02-08,31,0.5967741935483871,positive
2021-02-09,30,0.65,positive
2021-02-10,11,0.6363636363636364,positive
2021-02-11,15,0.6333333333333333,neutral
2021-02-12,32,0.609375,neutral
2021-02-15,8,0.6875,neutral
2021-02-16,15,0.5333333333333333,neutral
2021-02-17,25,0.62,positive
2021-02-18,33,0.6818181818181818,positive
2021-02-19,48,0.6875,positive
2021-02-22,36,0.6527777777777778,neutral
2021-02-23,38,0.6447368421052632,positive
2021-02-24,29,0.6379310344827587,positive
2021-02-25,35,0.6857142857142857,positive
2021-02-26,55,0.7363636363636363,positive
2021-03-01,36,0.7361111111111112,positive
2021-03-02,47,0.7340425531914894,positive
2021-03-03,34,0.75,positive
2021-03-04,48,0.6875,positive
2021-03-05,64,0.6953125,positive
2021-03-08,41,0.6585365853658537,positive
2021-03-09,43,0.6511627906976745,positive
2021-03-10,41,0.5853658536585366,positive
2021-03-11,40,0.6,neutral
2021-03-12,57,0.7017543859649122,positive
2021-03-15,35,0.7142857142857143,positive
2021-03-16,35,0.7571428571428571,positive
2021-03-17,30,0.6833333333333333,positive
